TreeDepth,Offset,Name
0,0x8f8709bfbe20,\\Windows\\System32
0,0x8f8709bfc140,\\Sessions\\1\\AppContainerNamedObjects
0,0x8f8709bfc2d0,\\ProgramData\\Microsoft\\Windows\\AppRepository\\StateRepository-Machine.srd
0,0x8f8709bfc460,\\Windows\\System32\\en-US\\user32.dll.mui
0,0x8f8709bfcc30,\\Windows\\System32\\cscobj.dll
0,0x8f8709bfcdc0,\\Windows\\System32\\sxs.dll
0,0x8f870a33e670,\\Windows\\System32\\drivers\\rdpvideominiport.sys
0,0x8f870a33fa90,\\$PrepareToShrinkFileSize
0,0x8f870a342ce0,\\$Directory
0,0x8f870a344270,\\$Directory
0,0x8f870a3446c0,\\Windows\\System32\\drivers\\vmgid.sys
0,0x8f870a3449a0,\\Windows\\System32\\drivers\\wcifs.sys
0,0x8f870a345690,\\Windows\\System32\\drivers\\luafv.sys
0,0x8f870a345dc0,\\Windows\\System32\\drivers\\storqosflt.sys
0,0x8f870a3467d0,\\Windows\\System32\\drivers\\mslldp.sys
0,0x8f870a347350,\\Windows\\System32\\drivers\\lltdio.sys
0,0x8f870a3474c0,\\Windows\\System32\\drivers\\rdpdr.sys
0,0x8f870a349460,\\Windows\\System32\\drivers\\mrxsmb.sys
0,0x8f870a3498b0,\\Windows\\System32\\drivers\\rspndr.sys
0,0x8f870a34a150,\\Windows\\System32\\drivers\\bowser.sys
0,0x8f870a34b850,\\Windows\\System32\\drivers\\mpsdrv.sys
0,0x8f870a34c260,\\Windows\\System32\\drivers\\mrxsmb20.sys
0,0x8f870a374400,\\Windows\\System32\\termsrv.dll
0,0x8f870a374590,\\Windows\\System32\\nsisvc.dll
0,0x8f870a3748b0,\\Windows\\System32\\urlmon.dll
0,0x8f870a374a40,\\Windows\\System32\\svchost.exe
0,0x8f870a374bd0,\\Windows\\System32\\ISM.dll
0,0x8f870a374d60,\\Windows\\System32\\WindowsCodecs.dll
0,0x8f870a375080,\\Windows\\System32\\en-US\\svchost.exe.mui
0,0x8f870a375210,\\CMNotify
0,0x8f870a3753a0,\\Windows\\System32
0,0x8f870a375530,\\CMApi
0,0x8f870a3756c0,\\Windows\\System32\\svchost.exe
0,0x8f870a375850,\\TermSrv_API_service
0,0x8f870a3759e0,\\Windows\\System32
0,0x8f870a375b70,\\Windows\\System32\\w32time.dll
0,0x8f870a375d00,\\Windows\\System32\\avrt.dll
0,0x8f870a375e90,\\Windows\\System32\\nrpsrv.dll
0,0x8f870a3761b0,\\Windows\\System32\\lmhsvc.dll
0,0x8f870a376340,\\Windows\\System32\\ninput.dll
0,0x8f870a376660,\\Windows\\System32\\svchost.exe
0,0x8f870a3767f0,\\Windows\\System32\\TimeBrokerServer.dll
0,0x8f870a376b10,\\Windows\\System32\\en-US\\svchost.exe.mui
0,0x8f870a376ca0,\\Windows\\System32\\Windows.UI.Immersive.dll
0,0x8f870a376e30,\\Windows\\System32
0,0x8f870a377150,\\Ctx_WinStation_API_service
0,0x8f870a3772e0,\\Windows\\System32\\DWrite.dll
0,0x8f870a377470,\\Windows\\System32\\dsrole.dll
0,0x8f870a377600,\\Windows\\System32
0,0x8f870a377790,\\$Directory
0,0x8f870a377c40,\\Endpoint
0,0x8f870a377dd0,\\Windows\\System32\\en-US\\d2d1.dll.mui
0,0x8f870a3780f0,\\Windows\\System32\\en-US\\svchost.exe.mui
0,0x8f870a378280,\\Windows\\System32\\lsmproxy.dll
0,0x8f870a378410,\\CMNotify
0,0x8f870a3785a0,\\Windows\\System32\\SystemEventsBrokerClient.dll
0,0x8f870a378730,\\Windows\\System32\\OneCoreUAPCommonProxyStub.dll
0,0x8f870a3788c0,\\Windows\\System32\\dhcpcore.dll
0,0x8f870a378a50,\\CMNotify
0,0x8f870a378be0,\\Windows\\System32\\Windows.UI.Xaml.Resources.rs5.dll
0,0x8f870a378d70,\\Endpoint
0,0x8f870a379220,\\Windows\\System32\\en-US\\w32time.dll.mui
0,0x8f870a3793b0,\\Windows\\System32\\en-US\\svchost.exe.mui
0,0x8f870a3796d0,\\Windows\\System32\\Windows.Gaming.Input.dll
0,0x8f870a379860,\\Windows\\System32\\svchost.exe
0,0x8f870a3799f0,\\Windows\\System32\\UIAnimation.dll
0,0x8f870a379b80,\\Windows\\System32\\ncbservice.dll
0,0x8f870a379d10,\\Windows\\System32\\cabinet.dll
0,0x8f870a379ea0,\\Windows\\System32\\Windows.UI.Xaml.Phone.dll
0,0x8f870a37a1c0,\\CMNotify
0,0x8f870a37a350,\\CMNotify
0,0x8f870a37a4e0,\\Windows\\System32\\FntCache.dll
0,0x8f870a37a670,\\CMNotify
0,0x8f870a37a990,\\CMNotify
0,0x8f870a37ab20,\\Windows\\System32\\Windows.UI.Xaml.InkControls.dll
0,0x8f870a37acb0,\\Windows\\System32\\dhcpcore6.dll
0,0x8f870a37ae40,\\CMNotify
0,0x8f870a37b160,\\Windows\\System32\\Windows.UI.Xaml.Controls.dll
0,0x8f870a37b2f0,\\CMApi
0,0x8f870a37b610,\\Windows\\System32\\Windows.UI.Xaml.Maps.dll
0,0x8f870a37b7a0,\\Windows\\System32\\Windows.Devices.Radios.dll
0,0x8f870a37b930,\\Windows\\System32\\dnsrslvr.dll
0,0x8f870a37bac0,\\Windows\\System32\\FWPUCLNT.DLL
0,0x8f870a37bc50,\\CMNotify
0,0x8f870a37bde0,\\Windows\\System32\\winnsi.dll
0,0x8f870a471260,\\Windows\\System32\\en-US\\user32.dll.mui
0,0x8f870a4718a0,\\Windows\\System32\\threadpoolwinrt.dll
0,0x8f870a471a30,\\Windows\\System32\\Windows.UI.Xaml.Resources.Common.dll
0,0x8f870a471bc0,\\Windows\\System32\\en-US\\InputSwitch.dll.mui
0,0x8f870a472200,\\Windows\\System32\\winsta.dll
0,0x8f870a472520,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Regsvr32%4Operational.evtx
0,0x8f870a472b60,\\Windows\\System32\\services.exe
0,0x8f870a472e80,\\InitShutdown
0,0x8f870a473330,\\InitShutdown
0,0x8f870a473b00,\\InitShutdown
0,0x8f870a473c90,\\Windows\\System32\\Windows.Shell.ServiceHostBuilder.dll
0,0x8f870a473e20,\\$Directory
0,0x8f870a474460,\\Windows\\System32\\en-US\\windows.ui.xaml.dll.mui
0,0x8f870a4950e0,\\Windows\\System32\\config\\SECURITY.LOG2
0,0x8f870a495400,\\Windows\\System32\\config\\RegBack\\SECURITY
0,0x8f870a495590,\\Windows\\System32\\lsasrv.dll
0,0x8f870a495720,\\Windows\\System32\\lsass.exe
0,0x8f870a4958b0,\\CMApi
0,0x8f870a495bd0,\\Windows\\System32\\wldp.dll
0,0x8f870a495d60,\\Windows\\System32\\config\\SECURITY.LOG1
0,0x8f870a495ef0,\\Windows\\System32\\msprivs.dll
0,0x8f870a496080,\\Windows\\System32\\EventAggregation.dll
0,0x8f870a496210,\\Windows\\System32\\joinutil.dll
0,0x8f870a4963a0,\\Windows\\System32\\netprovfw.dll
0,0x8f870a496530,\\Windows\\System32
0,0x8f870a4966c0,\\Windows\\System32\\samsrv.dll
0,0x8f870a496850,\\Windows\\System32\\negoexts.dll
0,0x8f870a4969e0,\\Windows\\System32\\ntasn1.dll
0,0x8f870a496b70,\\Windows\\System32\\cryptbase.dll
0,0x8f870a496d00,\\Windows\\System32\\KerbClientShared.dll
0,0x8f870a496e90,\\Windows\\System32\\cryptdll.dll
0,0x8f870a4971b0,\\Windows\\System32\\devobj.dll
0,0x8f870a497660,\\Windows\\System32\\kerberos.dll
0,0x8f870a4977f0,\\Windows\\System32\\mswsock.dll
0,0x8f870a497980,\\Windows\\Globalization\\Sorting\\SortDefault.nls
0,0x8f870a497b10,\\Windows\\System32\\config\\SECURITY
0,0x8f870a497ca0,\\Windows\\System32\\ncrypt.dll
