Volatility 3 Framework 2.28.0

Plugin	Description	Created Date	Modified Date	Accessed Date	Changed Date
PsScan	Process: 5152 msiexec.exe (157810182779008)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3304 svchost.exe (157810183062336)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4596 firefox.exe (157810308001984)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4788 firefox.exe (157810340508416)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 2496 rdrleakdiag.ex (157810342674624)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4872 firefox.exe (157810381374208)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4952 firefox.exe (157810395525312)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 580 taskhostw.exe (157810396221632)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4936 firefox.exe (157810396360896)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 5028 firefox.exe (157810418942144)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3952 firefox.exe (157810420478144)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3508 firefox.exe (157810465919168)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 3372 firefox.exe (157810467877056)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 4668 firefox.exe (157810599928000)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 88 msiexec.exe (157810604945600)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
PsScan	Process: 1084 firefox.exe (157810620617664)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 160 in Pid 4 (Offset 157810084336320)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1532 in Pid 1172 (Offset 157810084339840)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 20 in Pid 4 (Offset 157810084401920)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1536 in Pid 1172 (Offset 157810084405376)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1452 in Pid 1008 (Offset 157810084413568)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1196 in Pid 972 (Offset 157810084425856)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1456 in Pid 1172 (Offset 157810084434048)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 24 in Pid 4 (Offset 157810084442176)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 16 in Pid 4 (Offset 157810084451968)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
ThrdScan	Thread: Tid 1544 in Pid 1008 (Offset 157810084458624)	2024-03-12 23:08:54.000000 UTC	N/A	N/A	N/A
